,prod_id,prod_desc,prod_long_desc,theme_name,ages,piece_count,set_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
10152,41336,blah,blahblah,Friends,6-12,378,Emma's Art Café,PL,43.4971,3.0,4.7,Average,2.7,3.3
10153,41335,blah,blahblah,Friends,6-12,351,Mia's Tree House,PL,37.6971,2.0,5.0,Challenging,5.0,5.0
10154,41322,blah,blahblah,Friends,6-12,307,Snow Resort Ice Rink,PL,37.6971,2.0,5.0,Average,4.5,4.5
10155,41316,blah,blahblah,Friends,6-12,309,Andrea's Speedboat Transporter,PL,37.6971,1.0,5.0,Easy,5.0,5.0
10156,41311,blah,blahblah,Friends,6-12,289,Heartlake Pizzeria,PL,37.6971,7.0,3.8,Easy,4.1,3.7
10157,75827,blah,blahblah,Ghostbusters™,16+,4634,Firehouse Headquarters,PL,464.0,130.0,4.7,Challenging,4.8,4.7
10158,21313,blah,blahblah,Ideas,12+,962,Ship in a Bottle,PL,95.6971,83.0,3.7,Average,4.5,4.2
10159,21310,blah,blahblah,Ideas,12+,2049,Old Fishing Store,PL,202.9971,79.0,4.8,Average,5.0,4.7
10160,21309,blah,blahblah,Ideas,14+,1969,LEGO® NASA Apollo Saturn V,PL,153.6971,367.0,4.6,Challenging,4.9,4.9
10161,21308,blah,blahblah,Ideas,9+,496,Adventure Time™,PL,66.69709999999999,23.0,3.6,Easy,3.3,2.7
10162,21312,blah,blahblah,Ideas,10+,231,Women of NASA,PL,37.6971,33.0,4.4,Easy,4.6,4.5
10163,21314,blah,blahblah,Ideas,10+,230,TRON: Legacy,PL,43.4971,30.0,4.1,Easy,4.4,3.7
10164,10757,blah,blahblah,Juniors,4-7,85,Raptor Rescue Truck,PL,40.5971,,,nan,,
10165,10760,blah,blahblah,Juniors,4-7,149,Underminer Bank Heist,PL,40.5971,,,nan,,
10166,10759,blah,blahblah,Juniors,4-7,95,Elastigirl's Rooftop Pursuit,PL,34.79709999999999,,,nan,,
10167,10756,blah,blahblah,Juniors,4-7,84,Pteranodon Escape,PL,28.9971,,,nan,,
10168,10745,blah,blahblah,Juniors,5-8,266,Florida 500 Final Race,PL,63.7971,1.0,5.0,Challenging,5.0,5.0
10169,10734,blah,blahblah,Juniors,4-7,175,Demolition Site,PL,40.5971,2.0,5.0,nan,5.0,4.0
10170,10754,blah,blahblah,Juniors,4-7,125,Spider-Man vs. Scorpion Street Showdown,PL,31.897099999999995,1.0,5.0,nan,4.0,4.0
10171,10749,blah,blahblah,Juniors,4-7,115,Mia's Organic Food Market,PL,26.0971,,,nan,,
10172,10746,blah,blahblah,Juniors,4-7,100,Mia's Farm Suitcase,PL,26.0971,2.0,5.0,Easy,5.0,4.5
10173,10739,blah,blahblah,Juniors,4-7,108,Shark Attack,PL,26.0971,2.0,4.5,Easy,4.5,4.0
10174,10740,blah,blahblah,Juniors,4-7,110,Fire Patrol Suitcase,PL,26.0971,1.0,,Easy,4.0,
10175,10755,blah,blahblah,Juniors,4-7,131,Zane's Ninja Boat Pursuit,PL,26.0971,,,nan,,
10176,10737,blah,blahblah,Juniors,4-7,63,Batman™ vs. Mr. Freeze™,PL,20.2971,2.0,4.0,Easy,4.5,4.0
10177,10738,blah,blahblah,Juniors,4-7,67,Snow White's Forest Cottage,PL,20.2971,2.0,5.0,Average,5.0,5.0
10178,10748,blah,blahblah,Juniors,4-7,67,Emma's Pet Party,PL,13.0471,2.0,5.0,Very Easy,5.0,4.0
10179,10758,blah,blahblah,Juniors,4-7,150,T. rex Breakout,PL,66.69709999999999,,,nan,,
10180,10761,blah,blahblah,Juniors,4-7,178,The Great Home Escape,PL,46.3971,,,nan,,
10181,75930,blah,blahblah,Indoraptor Rampage at Lockwood Estate,8-12,1019,Indoraptor Rampage at Lockwood Estate,PL,173.9971,2.0,5.0,Easy,5.0,4.0
10182,75929,blah,blahblah,Carnotaurus Gyrosphere Escape,7-12,577,Carnotaurus Gyrosphere Escape,PL,110.1971,1.0,,nan,5.0,
10183,75933,blah,blahblah,T. rex Transport,7-12,609,T. rex Transport,PL,98.5971,,,nan,,
10184,75932,blah,blahblah,Jurassic Park Velociraptor Chase,6-12,360,Jurassic Park Velociraptor Chase,PL,69.5971,4.0,4.8,Average,5.0,4.3
10185,75931,blah,blahblah,Dilophosaurus Outpost Attack,7-12,289,Dilophosaurus Outpost Attack,PL,69.5971,1.0,3.0,Easy,4.0,3.0
10186,75928,blah,blahblah,Blue's Helicopter Pursuit,7-12,397,Blue's Helicopter Pursuit,PL,69.5971,,,nan,,
10187,75927,blah,blahblah,Stygimoloch Breakout,6-12,222,Stygimoloch Breakout,PL,55.0971,2.0,4.5,Average,5.0,4.5
10188,75926,blah,blahblah,Pteranodon Chase,6-12,126,Pteranodon Chase,PL,34.79709999999999,1.0,3.0,Easy,4.0,2.0
10189,76105,blah,blahblah,Marvel Super Heroes,14+,1363,The Hulkbuster: Ultron Edition,PL,179.7971,52.0,3.2,Average,3.8,4.0
10190,76108,blah,blahblah,Marvel Super Heroes,8-14,1004,Sanctum Sanctorum Showdown,PL,136.2971,7.0,4.8,Average,5.0,4.8
10191,76107,blah,blahblah,Marvel Super Heroes,8-14,674,Thanos: Ultimate Battle,PL,110.1971,17.0,4.9,Average,4.7,4.2
10192,76103,blah,blahblah,Marvel Super Heroes,7-14,416,Corvus Glaive Thresher Attack,PL,52.1971,3.0,3.7,Average,4.0,3.7
10193,76104,blah,blahblah,Marvel Super Heroes,7-14,375,The Hulkbuster Smash-Up,PL,49.2971,13.0,4.7,Easy,4.8,4.7
10194,76102,blah,blahblah,Marvel Super Heroes,6-12,223,Thor's Weapon Quest,PL,34.79709999999999,10.0,4.4,Easy,4.4,4.9
10195,76101,blah,blahblah,Marvel Super Heroes,6-12,124,Outrider Dropship Attack,PL,20.2971,13.0,4.2,Easy,4.8,4.8
10196,76088,blah,blahblah,Marvel Super Heroes,7-14,492,Thor vs. Hulk: Arena Clash,PL,81.19709999999998,6.0,4.7,Average,4.3,4.0
10197,76078,blah,blahblah,Marvel Super Heroes,7-14,375,Hulk vs. Red Hulk,PL,81.19709999999998,7.0,4.1,Easy,3.7,2.3
